marque,modèle,catégorie,couleur,prix,km,porte,GPS,avis
Peugeot,3008,SUV,Bleu métallisé,24790,20885,5,oui,"Voiture est super le seul bémol c'est le start and stop qui ne fonctionne pas toujours... ;pas fatigante a conduire, le seul petit défaut, le rayon de braquage un peu juste. ; Je roule avec ma voiture depuis moins de 1000 km elle très désagréable à conduire sur autoroute car la direction tremble. ;Je roule avec ma voiture actuellement en montagne et la conduite est très agréable "
Dacia,Duster ,SUV,Noir Nacre,19490,0,5,non,"Voiture que je conduis depuis 6 semaines et testée en ville et sur grandes distances.à ma grande satisfaction. J'attends que la consommation baisse pour dire que tout est OK ; Très agreable à conduire.Confortable,équipements fonctionnels et très bonne motorisation. ; Conduite souple et véhicule répondant exactement aux attentes du conducteur. Tenue de route impeccable tant par temps sec que par temps mouillé. Equipement au top. Véhicule apprécié par toute la famille. Seul bémol : réservoir de capacité insuffisante (65 l aurait été idéal) ; Depuis 2mois que je possède la voiture et rien à dire sur la mécanique mais par contre très déçu de la partie carrosserie car ça laisse plein de traces qui ne partent pas alors qu'elle a été lavée correctement "
Nissan,Qashqai ,SUV,Blanc Lunaire ,26850,0,5,oui,"Agréable à conduire , très silencieuse, confortable. Je ne regrette pas d'avoir pris la version essence malgré 25 ans de diesel. Consommation 6,5 L/100 et 3500€ moins cher que l'équivalent diésel. Le plein en E10 coute le même prix que le gasoil. ; véhicule très confortable et agréable a conduire ; Performante, bonne reprise tout en souplesse et assez nerveuse s'il le faut, confortable trés bons siéges, trés bon amortissement et trés belle finition dans une bonne qualité. 160CV en turbo essence, finition n-connecta toit transparent et électrique...que du Bonheur "
Opel ,Crossland  X,SUV,Gris Quartz,14290,0,5,oui,"Il n'y a pas d'avis clients pour le moment."
Renault ,Captur ,SUV,Orange Atacama,14290,12939,5,oui,"Cette voiture est très agréable à conduire, elle est souple et confortable. Je la recommande , moi je l'ai en automatique et j'adore. ;J aime beaucoup ma captur, elle est très agréable à conduire même si elle est un peu plus bruyante que la c3 Picasso que j avais précédemment. Elle tient bien la route et consomme peu. Je suis conquise!; Ça fait 2 mois que j’ai ma voiture, jusqu’à la j’ai pas eu de soucis, voiture agréable maniable et confortable. Seul bémol le réservoir est petit; Je roule depuis 3 moi elle est très agréable pour un usage urbain. Sa boite auto est agréable"
Peugeot,2008,SUV,Noir Perla Nera,14990,13309,5,oui,"Je roule avec ma voiture depuis plus d'un an et mon premier constat et qu'elle est très agréable à la conduite elle est spacieuse on a une très bonne ; je roule depuis 1 mois facile a conduire .manque de souplesse ,niveau suspension. position assise avec le plus que nous offre le tableau de bord avec un affichage en position tête haute qui est très pratique l'habitacle est bien insonorisé il n'y a pas de souci pour bien placer les passagers les longs déplacements ne sont pas fatiguant une très bonne voiture ; Depuis 1 mois, nous avons fait 1500 km de trajets urbains et autoroutiers. Elle est très agréable à conduire et les commandes sont assez intuitives. Nous apprécions le look réussi et son silence. Parmi les défauts relevés, il y a l'assistance au créneau qui demande de l'apprentissage et le fait de devoir lever les pieds assez haut pour rentrer dans la voiture. Cela est dû certainement au profil SUV du modèle. "
AUDI,Q2,SUV,Argent Fleuret Métallisé,25990,6547,5,non,"J'ai ce véhicule depuis quelques mois, j'en suis pleinement satisfait ! La boite auto est juste parfaite et le design est réussi, ça me change du Captur... Coffre un peu petit si je devais trouver un défaut. ;  Confort à l'avant, insonorisation, consommation raisonnable, beaucoup d'aides à la conduite.Je suis satisfait. ; J'ai ma voiture depuis 1 mois et elle est agréable à conduire, mais consomme assez dans des trajets court du quotidien ; Je roule avec ce véhicule depuis 2 mois et je la trouve très basique "
Peugeot,208,citadine,Dark Blue,11190,25840,5,non,"Tres agréable à conduire mais dommage que les tapis ne soit pas fourni ;  Une version 90 ch aurait été bienvenue mais la notion de citadine est bien remplie ; Je roule avec depuis environ 1 mois et très bonne voiture, agréable à conduire. Seul bémol, consommation un petit peu excessive pour le modèle essence. ’ai cette voiture depuis 2 mois et je me cogne encore la tête en rentrant dedans . Accès trop bas . Si je l’avais essayé avant je n’aurais pas pris ce modèle . Je prévois d’en changer dans peu de temps car je pensais m’y habituer mais rien ...... "
FLAT,500,citadine,Electroclash Grey,11890,0,3,non,"Petite voiture sympatique, l'option écran tactile avec car-play très agréable, par contre le modèle choisi avec boîte robotisée est décevant, la réponse à l'accélération est super molle, le passage des vitesses se ressent très nettement avec impression de freinage à chaque passage, pas de position parking ce qui implique que la voiture est libre d'avancer ou reculer alors que vous êtes en position R ou D (intolérable lorsque vous êtes habitué à une vrai boîte auto). Le start & stop rajoute à la pénibilité de la boîte. Ceci fait que nous ne garderons pas ce véhicule très longtemps et que nous le déconseillons pour les personnes handicapées. ; Je roule avec ma Fiat 500 depuis 1 mois et j'en suis satisfaite. Elle est parfaite pour les trajets courts et la circulation en ville. Elle se faufile partout et est facile à garer .. ; Modèle équipe d’une boîte auto : voiture agréable à conduire, options nombreuses mais pas forcément très utiles et/ou pratiques et point négatif une puissance insuffisante en cas de montée d’une pente aigue "
HYUNDAI,i10,citadine,Tomato Red,8950,0,5,non,"Il n'y a pas d'avis clients pour le moment."
TOYOTA,Yaris 3,citadine,Gris Aluminium metallise,14450,0,5,oui,"Il n'y a pas d'avis clients pour le moment."
Citroën ,C3,citadine,Orange Power,11990,41954,5,oui,silencieuse agréable à conduire spacieuse pour une auto de cette gamme et son coté personnalisable la rend très jeune et sympathique : mes petits enfants adorent 
